username,repo_name,stars,repo_url
electron,electron,101758,https://github.com/electron/electron
microsoft,playwright,37959,https://github.com/microsoft/playwright
FiloSottile,mkcert,35225,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,25908,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,21987,https://github.com/ovity/octotree
segmentio,nightmare,19173,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,18641,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,14172,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13244,https://github.com/prisma-archive/chromeless
google,WebFundamentals,13151,https://github.com/google/WebFundamentals
casesandberg,react-color,10656,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,10002,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,9134,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8476,https://github.com/gildas-lormeau/SingleFile
uBlock-LLC,uBlock,8078,https://github.com/uBlock-LLC/uBlock
MetaMask,metamask-extension,8013,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,7621,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6641,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6141,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,5919,https://github.com/Kenshin/simpread
MontFerret,ferret,4981,https://github.com/MontFerret/ferret
ajayyy,SponsorBlock,4802,https://github.com/ajayyy/SponsorBlock
themerdev,themer,4699,https://github.com/themerdev/themer
moonD4rk,HackBrowserData,4657,https://github.com/moonD4rk/HackBrowserData
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
browserless,chrome,4536,https://github.com/browserless/chrome
alyssaxuu,omni,4558,https://github.com/alyssaxuu/omni
burtonator,polar-bookshelf,4446,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4357,https://github.com/nieweidong/fetool
brookhong,Surfingkeys,4040,https://github.com/brookhong/Surfingkeys
